Area_WS/LOA^2 @ T/Dd = 0.12,Area_WS/LOA^2 @ T/Dd = 0.25,Area_WS/LOA^2 @ T/Dd = 0.33,Area_WS/LOA^2 @ T/Dd = 0.38,Area_WS/LOA^2 @ T/Dd = 0.50,Area_WS/LOA^2 @ T/Dd = 0.62,Area_WS/LOA^2 @ T/Dd = 0.67,Area_WS/LOA^2 @ T/Dd = 0.75,Area_WS/LOA^2 @ T/Dd = 0.88,Area_WS/LOA^2 @ T/Dd = 1.0
0.013693917566657,0.0299784978737372,0.0407423974059703,0.0476913023424496,0.0649272673822845,0.082761579798522,0.0903168861485623,0.102515073528615,0.12248392820416,0.141029572258774
0.0317984577349409,0.0606301260455166,0.0794014378464411,0.0915015767233341,0.121244664582768,0.150879662844715,0.163053214264639,0.182188050612298,0.212162955658056,0.239007607197887
0.0415093936596703,0.0936281153613356,0.128215576162398,0.14959572463041,0.199361044360362,0.246943086868889,0.266109131650269,0.29596686495336,0.342441688248843,0.383560786242224
0.0288727344542676,0.0668497302891063,0.09356631998833,0.111522339561458,0.158214550369813,0.208217027017838,0.229015049953847,0.261667214618899,0.313139509338412,0.359120433126595
0.0364648815315978,0.0742517605033414,0.100241125170589,0.117419110876724,0.161506338955359,0.206156218256195,0.223959212686022,0.251452781066549,0.293865636065132,0.335173849684712
0.032104786845114,0.0663150479119265,0.0883035786636633,0.102241931905761,0.136279591276846,0.171275268279115,0.186131356936581,0.210182367463253,0.249834977451429,0.286999710921187
0.0413236394281966,0.0882234213820195,0.118720135374767,0.138502523867635,0.188254337953242,0.239658483003246,0.260438144704268,0.292624391042815,0.341729762473445,0.382840393488397
0.0353053833676812,0.0817566835558693,0.112525559761486,0.132218205048054,0.179932853964148,0.22650189315285,0.245013401471355,0.273069336924519,0.313925739995705,0.346641635720694
0.063096974869667,0.110198309706441,0.141602173036025,0.16238520932461,0.214242289634785,0.267867378879939,0.290509885582196,0.327272370733001,0.388257622589733,0.441989718352863
0.015610458971686,0.0309907975602062,0.0404140812932802,0.0462919108168759,0.0603180324031594,0.0740768770235082,0.0797040559663068,0.0885844669242955,0.102726011011027,0.115475272501819
0.0344256775047433,0.0665573393347769,0.0879551739471459,0.101786562365058,0.135799117673483,0.171947553093316,0.187466967185653,0.212354698560782,0.254110803336399,0.294535208124096
0.0232029431233333,0.0486534436838594,0.065947892100685,0.0775757991533218,0.108993008480748,0.143821008894986,0.157872621238958,0.179091516761037,0.210051222702959,0.236488467527745
0.0250391867285986,0.0512154784355078,0.0679071636321817,0.0785509491478168,0.104744215664951,0.1318481344863,0.14337496550133,0.161975367867882,0.192265900683846,0.219602047026673
