Area_WP/LOA^2 @ T/Dd = 0.12,Area_WP/LOA^2 @ T/Dd = 0.25,Area_WP/LOA^2 @ T/Dd = 0.33,Area_WP/LOA^2 @ T/Dd = 0.38,Area_WP/LOA^2 @ T/Dd = 0.50,Area_WP/LOA^2 @ T/Dd = 0.62,Area_WP/LOA^2 @ T/Dd = 0.67,Area_WP/LOA^2 @ T/Dd = 0.75,Area_WP/LOA^2 @ T/Dd = 0.88,Area_WP/LOA^2 @ T/Dd = 1.0
0.0990021638012638,0.130148750841354,0.143044274284515,0.149764588785033,0.164062563037982,0.175389876826397,0.179105611281439,0.196516395987066,0.213092344806418,0.217738184577064
0.0788795219158291,0.108818073875043,0.12709926477166,0.13772626453177,0.158288237776048,0.162599036464728,0.159362182415345,0.150081512983014,0.136886784278854,0.13022364294148
0.0709673519006378,0.137063809824424,0.166896965404033,0.17740146267906,0.179387570481112,0.173899142515107,0.170058785440323,0.162267201749719,0.145108618503283,0.122357454948967
0.0786346297436912,0.143720519644306,0.190298272098719,0.220698530349655,0.288516934881804,0.327423199142478,0.323084885371133,0.303166941631786,0.256726355600472,0.199535952652874
0.00554626264570184,0.0163894881443076,0.0302098802717408,0.0427569173028566,0.0863547265300651,0.106689250805338,0.111120189948312,0.116210459110928,0.129386376126498,0.170201992611384
0.113736686705535,0.168743487384773,0.195257287621761,0.211106781653424,0.236880363430105,0.254557087805015,0.259964098638727,0.266245836225851,0.270875269649404,0.272542791808775
0.0423837236056967,0.128883603286094,0.183833586681311,0.218531314792868,0.282803214210303,0.280688937167921,0.275543780895742,0.260784604086468,0.219274536018447,0.164099310001055
0.212377873016829,0.288303661832599,0.315311427120083,0.327243008435362,0.334420979442547,0.303904824879434,0.281946404065466,0.242636711254879,0.179909228943804,0.13935999194646
0.0145082660690204,0.0556777551167631,0.163211004047446,0.186393473713268,0.219550074739102,0.234203357720757,0.237191372641628,0.247614796434899,0.262931110715976,0.268641628668468
0.0429343771680488,0.0619997221135386,0.0733051055587233,0.0802031467822166,0.0952061534565662,0.107720748688946,0.112386119595473,0.119442141190203,0.129965101167821,0.138359197140177
