Iyy/LOA^4 @ T/Dd = 0.12,Iyy/LOA^4 @ T/Dd = 0.25,Iyy/LOA^4 @ T/Dd = 0.33,Iyy/LOA^4 @ T/Dd = 0.38,Iyy/LOA^4 @ T/Dd = 0.50,Iyy/LOA^4 @ T/Dd = 0.62,Iyy/LOA^4 @ T/Dd = 0.67,Iyy/LOA^4 @ T/Dd = 0.75,Iyy/LOA^4 @ T/Dd = 0.88,Iyy/LOA^4 @ T/Dd = 1.0
0.00335890632752076,0.00530715064835766,0.0063208831368035,0.00688493372077053,0.00805455319959128,0.00887403974324894,0.00909243018029118,0.0111144392321874,0.0127690256753337,0.0128248787766051
0.00432889122494869,0.00689968004764103,0.00850695410054033,0.00934876745912545,0.0114456341217237,0.0123113243985177,0.0119731380096255,0.0107519259989172,0.0085381852714779,0.00703540079094407
0.00322344956532256,0.00715291652396039,0.00985350346852638,0.0103803876948958,0.00904109980491982,0.00763633225248262,0.00708798575587392,0.00627793755302757,0.00515437916638329,0.00429075732717707
0.00227191179942368,0.0058625998023956,0.00893530805085489,0.0111291002400251,0.0166108321582567,0.020511382754011,0.0200637731444821,0.0178763782422622,0.0139662485638144,0.00960524694621439
0.000155142190546098,0.000648966765521886,0.00129104988214639,0.00192520486555333,0.0043712338446493,0.00475714552845804,0.0047639498525667,0.00479225700304815,0.00551929723156885,0.00631780286113284
0.00531703572405237,0.0083753903399854,0.0105372225711005,0.0120157266018649,0.014433359204121,0.0163781909768539,0.0170739279752938,0.0180265430548649,0.0191584017411807,0.0199545765306873
0.00236091853648671,0.00730420605543265,0.0105708811381982,0.0126766434332811,0.0167413725798979,0.0149746686591181,0.0140838657415524,0.0123982801271383,0.00930101933023736,0.00647567952675529
0.0100829968455028,0.0174381964071762,0.0201742873286083,0.0213547385503988,0.0219251205913956,0.0189845084796244,0.0169896029006899,0.0134476542295669,0.00789760022685616,0.00487573462419536
0.000756195406527846,0.00269259746855077,0.0075752294512973,0.00881148957059141,0.0107887611013053,0.011792557590872,0.0120139355401716,0.0132622041027241,0.0152506724861081,0.0155686032357212
0.0031293212176978,0.00457019577292809,0.00538462410891232,0.00585750901233923,0.0066842080161791,0.0070486712119634,0.00710683736117972,0.0071422345384176,0.00709261241523754,0.00691084000927685
0.000171082905470496,0.000636056730526756,0.00107749345066169,0.0014134052645368,0.00276057332841158,0.00528787973412619,0.00568065588678338,0.00628279904992216,0.00743168594238589,0.00754692904186338
0.00291354625418152,0.00639560088380099,0.00929127064989889,0.0115065442703745,0.0166438859425752,0.0180732266876104,0.0174325055159406,0.0149147499463999,0.0113740871381141,0.00859345069919928
0.00342199933311181,0.00555130292979255,0.00693736654280025,0.00783412023677211,0.0100880814243795,0.0124484035979407,0.0132137755657849,0.0140597087915316,0.01516494076268,0.0178145586382199
0.000429357883169371,0.00196040280229026,0.00384624337459082,0.00576489367653189,0.00868651406506622,0.0105124288532582,0.0112366207347699,0.012337129819452,0.0139406716065575,0.0162739790028682
0.00450693552175842,0.00711855868049652,0.00831663844070291,0.00894080138369953,0.00963073598565285,0.00894845000464804,0.00856925010141862,0.00792733742035841,0.00666889595546868,0.00506226652703212
0.00107590286955336,0.00326535061502358,0.00489026947834063,0.00597607578678086,0.00857121427049938,0.00800901417946131,0.0075737848499502,0.00686063371813729,0.00550796595719879,0.00396143050634335
0.000330411817407811,0.00102253390098369,0.00154495517463166,0.00193401278229848,0.00322608757012175,0.00536346382146888,0.00648801758263772,0.00854156678943938,0.0107772405129189,0.0116483680345115
2.92119963279732E-05,0.00018376373609496,0.000395493628201756,0.000593712101414441,0.00137368867129924,0.0027635818312859,0.00359606637667912,0.00484032833213631,0.00742239042488952,0.012754649697447
