x/LOA of fwd end of Box ,length/LOA of Box,height/LOA of Box,width/LOA of Box,Volume/LOA^3 of Box
0.312828211659259,0.617146590628657,0.115148728143759,0.16166140766105,0.0114882488824706
0.0889128286280551,0.696204793306259,0.137258648100174,0.131774194946354,0.012592359032376
0.126012581284708,0.729271406541015,0.119391645812675,0.15702007889375,0.0136715676624183
0.403498912631978,0.4112799948389,0.105235163305425,0.186583021263252,0.00807552165208329
0.166462654860002,0.555102318183229,0.158559994635071,0.186657062004329,0.0164289984702729
0.334950652707586,0.463732622758651,0.222433109053881,0.155526231956938,0.0160424513602171
0.162540762339005,0.705488734102918,0.110253362414384,0.118146808571259,0.00918975473791679
0.237556401901175,0.617930607609189,0.0925214733316638,0.14841972340868,0.00848543019830461
0.0821788104855318,0.660370997686049,0.131352629011979,0.168844777602064,0.0146458436486592
0.223477962847246,0.4946566241291,0.107684376932238,0.204676871585374,0.0109024800112502
0.230451912901822,0.730030067787973,0.00726791237755256,0.0931867660721409,0.000494429837017158
0.146597275465065,0.569402722102652,0.214710642681657,0.134713151659179,0.0164696021277563
0.0781856244432022,0.575747520311059,0.0303187342621886,0.175033373306409,0.00305537137462751
0.20685227850304,0.528268419024413,0.158859950657209,0.0909797070346805,0.00763508024342537
0.246847003751861,0.470662099919307,0.146769050560391,0.139783305784671,0.00965603919616419
0.082878356119531,0.768829478128083,0.0605298162199691,0.183554328735508,0.00854208743953869
0.169328764022213,0.660229537246421,0.0529558164598305,0.16688720795658,0.00583487648313587
0.0420005768206138,0.806487550564222,0.13318411807126,0.130865539491125,0.0140564420610971
0.332000011183243,0.655089936272393,0.201341234996865,0.267241663179638,0.0352482712422281
0.168000000961675,0.522430598024829,0.187048986188282,0.149476717865516,0.014606881867456
0.148000003720896,0.765988486876075,0.224739767137191,0.132889905701048,0.022876741343108
0.218000026989508,0.65598938150132,0.226386521079081,0.10990958675921,0.0163223599206506
0.0705402221763611,0.495459273945983,0.176411507724584,0.079212216634981,0.00692352142013845
0.0656629383211496,0.749876960962085,0.117492796791049,0.257822407649804,0.0227154796801685
0.0631784994153407,0.628076897341455,0.0862496562353084,0.13038354837249,0.00706306150168345
0.0860367981735708,0.725406928846197,0.12562539569432,0.233632368463559,0.0212908085092758
0.217882235166506,0.680117709798019,0.0582727618328794,0.142377093364531,0.00564273699106119
0.210044139854393,0.563660589431133,0.0442048655874811,0.0976279545871777,0.0024325508934599
0.136585375098154,0.56582846670702,0.070810536369748,0.237761633833499,0.0095263043725979
0.431487513181032,0.476854409858515,0.158051235915733,0.138731580194706,0.0104558424967988
0.151998599479339,0.576050064185837,0.117661504541149,0.219289055363047,0.0148631747357764
0.171426037781345,0.68486193376277,0.146398895944334,0.136640948010489,0.0137000356031257
0.256000003375937,0.600515959722703,0.114726251833635,0.168750296849854,0.0116260424582178
0.0912534201999343,0.622985918567993,0.0664225338651816,0.0753670994414974,0.00311871343174177
0.0567244071226042,0.640346591913654,0.0865899889767296,0.167046891397845,0.00926234993963438
0.130366273588827,0.552233537666939,0.200204808413153,0.100086971440288,0.0110655965066723
0.118132319251753,0.703367802120534,0.160645414675605,0.186827315349887,0.0211101437648427
0.167037418801243,0.571897170804449,0.0509777613757228,0.105022890482908,0.00306184128799282
0.17600015780358,0.610918420506553,0.122945640210326,0.0727800944129406,0.00546649515669989
0.061866498654287,0.645146062751802,0.0699252221390115,0.151109779012548,0.00681686159306489
0.234365746210812,0.524412582221102,0.214919775053191,0.156964030279137,0.0176908875441736
0.146000044951407,0.543777257924264,0.144626874231015,0.196271830581593,0.015435759861041
0.0724147690015609,0.71322764815654,0.0910166714978681,0.20449884813585,0.0132751667666318
0.101763341735651,0.532191483731334,0.0554460446999695,0.103953802393696,0.00306745973583651
0.1715604293324,0.482410072492961,0.134663607721264,0.151944436887731,0.00987077872502296
0.0936625992567861,0.702845513691517,0.128595377793456,0.118021542977318,0.0106671038670235
0.140555619616165,0.64445847902796,0.147959738810013,0.150502470817258,0.0143509987908288
0.0657953866589251,0.574253852675072,0.237391229543262,0.101901615195864,0.0138915163772146
0.128396369542533,0.610176616808766,0.137354845274582,0.140545327577777,0.0117792043649602
0.0898086958168114,0.664389553222181,0.131465156252749,0.113723220020934,0.0099330496210385
0.332000155413773,0.578864190433793,0.146057451826992,0.188306532037753,0.0159208330740052
0.0781014026779039,0.661898584828881,0.163200401315525,0.171298860711562,0.0185040651753529
0.155529966345493,0.45395935801913,0.0857969836907306,0.0815585119354451,0.00317656894932062
0.041550612931924,0.727306015622648,0.098646363655794,0.173249154416681,0.0124299500672919
0.141384824517608,0.610612196475783,0.178547239435286,0.109099533058813,0.0118943717078618
0.05855457357717,0.77384594617948,0.0516792004970519,0.137175449596616,0.00548588488809933
0.302471711957952,0.57871737024003,0.0436659625560414,0.182307110050402,0.00460694643360086
0.0802019798174548,0.543609099116028,0.124966305785563,0.21859315803132,0.0148496498562444
0.253232844736786,0.486754054708367,0.203380004109558,0.111744712278714,0.0110622841905679
0.392953477215162,0.396377581278453,0.135616514503466,0.253060468770888,0.0136033530577768
0.0808528315699414,0.484508681303636,0.0522410064657092,0.235149120773429,0.00595191139975346
0.11447605594778,0.813486912258198,0.0865410896014806,0.16794380597472,0.011823251290407
0.175287942049966,0.801012734327167,0.152161967574179,0.100911552396184,0.012299470725543
0.107257375085939,0.683749236516722,0.0435451353875509,0.114051572086318,0.00339576615545712
0.325430898297173,0.492291276038985,0.145421035279479,0.286241123721597,0.0204918609362645
0.113071882050783,0.606927581246621,0.144969309555505,0.190765102790994,0.0167846339932119
0.245418599141691,0.561872819459492,0.0671994648244634,0.0860644157661161,0.00324958171965792
0.483459493325729,0.356688810631075,0.0449645821697188,0.109554079096931,0.0017570681253485
0.22464166897192,0.715942612937584,0.0510676607137303,0.102197224141495,0.00373648528699459
0.14238976921551,0.68942288767845,0.0731874133857066,0.132065069537985,0.00666361749865352
0.194414686090698,0.455793278605754,0.163015746638556,0.244392575777109,0.0181587304783288
