Area_WS/LOA^2 @ T/Dd = 0.12,Area_WS/LOA^2 @ T/Dd = 0.25,Area_WS/LOA^2 @ T/Dd = 0.33,Area_WS/LOA^2 @ T/Dd = 0.38,Area_WS/LOA^2 @ T/Dd = 0.50,Area_WS/LOA^2 @ T/Dd = 0.62,Area_WS/LOA^2 @ T/Dd = 0.67,Area_WS/LOA^2 @ T/Dd = 0.75,Area_WS/LOA^2 @ T/Dd = 0.88,Area_WS/LOA^2 @ T/Dd = 1.0
0.520860253328303,0.554106229368877,0.574553260781088,0.587223672901619,0.617183536247803,0.646528285949782,0.658583238681194,0.677681262778303,0.708401235937986,0.73543347858164
0.283002109932337,0.323156098083046,0.348157711982064,0.363923323273461,0.401900523277848,0.439899133767251,0.455585898698407,0.480335612623851,0.519422455961984,0.554324768963379
0.142440907236113,0.179213492363359,0.202440162519644,0.217175320499895,0.253081444176187,0.289592356995313,0.304965701277989,0.329731685250779,0.368500046950077,0.402568539941755
0.142305371677696,0.176845200906723,0.197764407782966,0.210430430826743,0.239129608049637,0.267886910042637,0.279810536501538,0.298625274843551,0.327705031757241,0.351661857139102
0.141388622240474,0.185843093337558,0.213779170222087,0.231689639215974,0.27345508931715,0.315514067224907,0.33338557993376,0.36241474834607,0.410922084355016,0.457599353968174
0.294609489028107,0.356026217873087,0.394730115930427,0.419019824267186,0.476287007406467,0.532541591163916,0.555426997687163,0.590785721024932,0.644480068843777,0.68953869237987
0.0887197138503798,0.131237574220475,0.157493226923334,0.174523629053916,0.216336961075295,0.257606713077821,0.274703941782509,0.302024869762994,0.346292841177346,0.387070620271193
0.106431466884206,0.137244215060625,0.158042729710886,0.171786521342708,0.206997537098526,0.243345070219513,0.257721323132717,0.27973532390864,0.313262775199851,0.342011317456146
0.171880316875525,0.214438276904984,0.240243843926254,0.256201277697769,0.2939059883977,0.330697604703828,0.345737590324796,0.369440982385037,0.407116140760764,0.44116155335717
0.153606995053196,0.180092322988937,0.197217953935975,0.208158642173392,0.23543145270409,0.26353911783368,0.275395103822796,0.294484767855187,0.325707470263364,0.354800990259577
0.0444811799824672,0.0628137312459173,0.0733396794622977,0.0796755799831444,0.0944766365056947,0.109226588409548,0.115607314349745,0.126353561569971,0.14594856936767,0.167507426554065
0.350455679979921,0.402368540210432,0.433950400444727,0.453616912996091,0.500634639087257,0.547356809043452,0.566714680467141,0.598273746589121,0.652119685548908,0.704735524888527
0.0738335254753553,0.0849962948037051,0.0937319786724908,0.0992784309774307,0.112859476530412,0.127122060899182,0.133253208305958,0.14325449539321,0.160037310147948,0.176202733008226
0.0854327106339233,0.126358772701382,0.15419757413465,0.172416435714829,0.218487108960073,0.267447313633004,0.288953818565666,0.324420693926505,0.38207681079394,0.434654612557117
0.147085780042037,0.200259240641517,0.23434740559132,0.25527566978022,0.304607091633305,0.352613370255288,0.372249168560781,0.403243907341178,0.452372616988585,0.495695272032366
0.142537031933508,0.165959151133292,0.180658488694436,0.189947630860431,0.212517033483101,0.235339730608263,0.244870135192904,0.26011745929377,0.284875506099428,0.307820986364643
0.185461934200826,0.202704118728511,0.213269209804875,0.219844726935318,0.235508798886035,0.250944711474068,0.257261509876857,0.26710753935553,0.282320701713855,0.29583622352623
0.475002234314465,0.52963211033217,0.564418054761788,0.585694742609883,0.635317872088006,0.682960882525909,0.702480613563393,0.73340944354169,0.782845261474252,0.82754395210078
0.567663830924248,0.632953508458346,0.674253578790368,0.702829395764649,0.804757758157968,1.04494961486254,1.11178444013621,1.17699901634451,1.24753387949257,1.30268798384321
0.330289592053772,0.390160473961202,0.423890739256862,0.445280451471476,0.497705524499045,0.551884334472932,0.57504389824243,0.611914765860531,0.670383819268655,0.723960782303202
